Title ID	PSN Name	Region	Match Type	Redump Title	Serial
NPUJ00821	Street Fighter Alpha 3	US	exact	Street Fighter Alpha 3	SLUS-00821
NPUJ00823	Bomberman Fantasy Race	US	exact	Bomberman Fantasy Race	SLUS-00823
NPUJ00843	Reel Fishing II	US	exact	Reel Fishing II	SLUS-00843
NPUJ00863	Shadow Tower	US	exact	Shadow Tower	SLUS-00863
NPUJ00877	R-Type Delta	US	exact	R-Type Delta	SLUS-00877
NPUJ00879	Final Fantasy V	US	exact(other region)	Final Fantasy V	SCPS-45214 / SLPM-86081 / SLPS-01949
NPUJ00885	Tomb Raider: The Last Revelation	US	exact	Tomb Raider: The Last Revelation	SLUS-00885
NPUJ00889	Pong	US	exact(other region)	Pong	SLES-02020
NPUJ00892	Final Fantasy VIII	US	exact	Final Fantasy VIII (Disc 1) | Final Fantasy VIII (Disc 2) | Final Fantasy VIII (Disc 3) | Final Fantasy VIII (Disc 4)	SLUS-00892 / SLUS-00908 / SLUS-00909 / SLUS-00910
NPUJ00893	Toy Story 2: Buzz Lightyear To The Rescue!	US	fuzzy:0.92	Disney-Pixar Toy Story 2: Buzz Lightyear to the Rescue!	SLUS-00893
NPUJ00896	The Misadventures of Tron Bonne	US	fuzzy:0.95	Misadventures of Tron Bonne, The	SLUS-00896
NPUJ00900	Final Fantasy VI	US	exact(other region)	Final Fantasy VI | Final Fantasy VI (Bonus Disc: Final Fantasy X Demo)	SCED-50642 / SCES-03828 / SCPS-45387 / SLPM-86198 / SLPS-01950
NPUJ00922	Dino Crisis	US	exact	Dino Crisis | Dino Crisis (Demo)	SLUS-00922 / SLUS-90066
NPUJ00923	Resident Evil 3: Nemesis	US	exact	Resident Evil 3: Nemesis | Resident Evil 3: Nemesis (Demo)	SLUS-00923 / SLUS-90064
NPUJ00947	Tom Clancy’s Rainbow Six	US	exact	Tom Clancy's Rainbow Six	SLUS-00947
NPUJ00957	Metal Gear Solid VR Missions	US	exact	Metal Gear Solid: VR Missions | Metal Gear Solid: VR Missions (Demo)	SLUS-00957 / SLUS-90062
NPUJ00958	Suikoden II	US	exact	Suikoden II	SLUS-00958
NPUJ00974	Medal of Honor	US	exact	Medal of Honor	SLUS-00974
NPUJ00980	TNN Motor Sports Hardcore TR	US	fuzzy:0.98	TNN Motorsports HardCore TR	SLUS-00980
NPUJ00992	Missile Command	US	exact	Missile Command	SLUS-00992
NPUJ01011	Front Mission 3	US	exact	Front Mission 3	SLUS-01011
NPUJ01013	Legend of Mana	US	exact	Legend of Mana	SLUS-01013
NPUJ01019	Threads of Fate	US	exact	Threads of Fate	SLUS-01019
NPUJ01029	Hercules	US	fuzzy:0.88	Disney's Hercules Action Game | Disney's Hercules Action Game (Rerelease)	SLUS-00529 / SLUS-01029
NPUJ01040	Vagrant Story	US	exact	Vagrant Story	SLUS-01040
NPUJ01041	Chrono Cross	US	exact	Chrono Cross (Disc 1) | Chrono Cross (Disc 2)	SLUS-01041 / SLUS-01080
NPUJ01042	Parasite Eve II	US	exact	Parasite Eve II (Disc 1) | Parasite Eve II (Disc 2)	SLUS-01042 / SLUS-01055
NPUJ01069	Sim Theme Park	US	fuzzy:0.96	SimTheme Park	SLUS-01069
NPUJ01070	Vanguard Bandits	US	exact	Vanguard Bandits	SLUS-01070
NPUJ01084	Championship Bass	US	exact	Championship Bass	SLUS-01084
NPUJ01093	Sno-Cross Championship Racing	US	fuzzy:0.98	SnoCross Championship Racing	SLUS-01093
NPUJ01111	Mr. Driller	US	exact	Mr. Driller	SLUS-01111
NPUJ01115	Harvest Moon: Back To Nature	US	exact	Harvest Moon: Back to Nature | Harvest Moon: Back to Nature (Demo)	SLUS-01115 / SLUS-81115
NPUJ01131	Spec Ops: Stealth Patrol	US	exact	Spec Ops: Stealth Patrol	SLUS-01131
NPUJ01140	Mega Man Legends 2	US	exact	Mega Man Legends 2 | Mega Man Legends 2 (Demo)	SLUS-01140 / SLUS-90078
NPUJ01142	Strider 1&2	US	fuzzy:0.95	Strider | Strider 2	SLUS-01142 / SLUS-01163
NPUJ01158	Persona 2: Eternal Punishment	US	exact	Persona 2: Eternal Punishment | Persona 2: Eternal Punishment (Bonus Disc)	SLUS-01158 / SLUS-01339
NPUJ01189	Bomberman Party Edition	US	exact	Bomberman: Party Edition	SLUS-01189
NPUJ01195	Hogs of War	US	exact	Hogs of War	SLUS-01195
NPUJ01201	Alone in the Dark: The New Nightmare	US	exact	Alone in the Dark: The New Nightmare (Disc 1) | Alone in the Dark: The New Nightmare (Disc 2)	SLUS-01201 / SLUS-01377
NPUJ01212	Metal Slug X	US	exact	Metal Slug X	SLUS-01212
